run,valid_rate,n_valid,fmap_cov,fmap_s,fmap_fs,avg_euclid
1,0.476190,20.000000,0.090000,2.722222,2.722222,0.980063
2,0.866667,26.000000,0.100000,3.666667,3.666667,0.959601
3,0.558140,24.000000,0.120000,3.303030,3.303030,0.823926
4,0.535714,15.000000,0.080000,2.321429,2.321429,0.751672
5,0.482759,14.000000,0.060000,3.000000,3.000000,0.757526
6,0.636364,21.000000,0.100000,3.177778,3.177778,0.980069
7,0.235294,4.000000,0.030000,1.333333,1.333333,0.519909
8,0.263158,5.000000,0.030000,2.666667,2.666667,0.977811
9,0.621622,23.000000,0.130000,4.307692,4.307692,0.902126
10,0.400000,14.000000,0.050000,2.000000,2.000000,0.439904
avg,0.507591,16.600000,0.079000,2.849882,2.849882,0.809261
std,0.175766,7.241547,0.033601,0.804928,0.804928,0.185564
